Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,24,TOR,5,0,103,15,37,0.405,1,8,0.125,14,29,0.483,0.419,3,3,1,9,24,33,10,1,1,8,10,34,achiupr01
2,Bam Adebayo,C,26,MIA,10,10,347,84,160,0.525,1,2,0.5,83,158,0.525,0.528,61,76,0.803,23,82,105,38,14,14,29,23,230,adebaba01
3,Ochai Agbaji,SG,23,UTA,11,3,189,19,48,0.396,10,29,0.345,9,19,0.474,0.5,2,4,0.5,9,21,30,11,4,7,7,14,50,agbajoc01
4,Santi Aldama,PF,23,MEM,5,0,105,23,48,0.479,8,20,0.4,15,28,0.536,0.563,4,9,0.444,3,20,23,9,2,4,8,6,58,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,10,2,196,18,47,0.383,9,28,0.321,9,19,0.474,0.479,2,6,0.333,1,19,20,26,9,8,10,15,47,alexani01
6,Grayson Allen,SG,28,PHO,10,10,314,43,92,0.467,27,56,0.482,16,36,0.444,0.614,9,9,1,12,41,53,29,5,4,18,25,122,allengr01
7,Jarrett Allen,C,25,CLE,5,5,125,20,31,0.645,0,0,,20,31,0.645,0.645,20,26,0.769,18,18,36,9,3,3,7,11,60,allenja01
8,Kyle Anderson,PF,30,MIN,10,0,252,31,56,0.554,2,10,0.2,29,46,0.63,0.571,11,18,0.611,7,32,39,41,10,7,20,17,75,anderky01
9,Giannis Antetokounmpo,PF,29,MIL,10,10,325,110,189,0.582,6,24,0.25,104,165,0.63,0.598,69,108,0.639,23,73,96,36,9,13,43,29,295,antetgi01
10,Thanasis Antetokounmpo,PF,31,MIL,3,0,21,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,4,1,1,4,4,2,antetth01
11,Cole Anthony,PG,23,ORL,10,0,240,40,97,0.412,14,41,0.341,26,56,0.464,0.485,38,47,0.809,9,32,41,27,7,3,22,22,132,anthoco01
12,OG Anunoby,SF,26,TOR,8,8,251,50,98,0.51,22,56,0.393,28,42,0.667,0.622,9,15,0.6,5,27,32,14,10,5,13,18,131,anunoog01
13,Ryan Arcidiacono,PG,29,NYK,3,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0,arcidry01
14,Deni Avdija,SF,23,WAS,10,10,271,51,102,0.5,11,30,0.367,40,72,0.556,0.554,12,16,0.75,15,45,60,39,11,3,17,23,125,avdijde01
15,Deandre Ayton,C,25,POR,10,10,321,60,103,0.583,0,0,,60,103,0.583,0.583,5,5,1,29,91,120,14,16,9,18,29,125,aytonde01
16,Udoka Azubuike,C,24,PHO,2,0,9,1,1,1,0,0,,1,1,1,1,0,0,,0,4,4,0,0,0,0,1,2,azubuud01
17,Marvin Bagley III,C,24,DET,12,4,237,52,88,0.591,1,5,0.2,51,83,0.614,0.597,32,35,0.914,22,42,64,15,0,7,18,22,137,baglema01
18,Amari Bailey,PG,19,CHO,1,0,3,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2,baileam01
19,Patrick Baldwin Jr.,SF,21,WAS,2,0,9,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,baldwpa01
20,LaMelo Ball,PG,22,CHO,10,10,335,77,184,0.418,30,82,0.366,47,102,0.461,0.5,38,45,0.844,19,35,54,86,16,3,40,40,222,ballla01
21,Mo Bamba,C,25,PHI,4,0,9,0,2,0,0,0,,0,2,0,0,2,2,1,2,4,6,0,0,2,3,3,2,bambamo01
22,Paolo Banchero,PF,21,ORL,10,10,340,66,142,0.465,12,31,0.387,54,111,0.486,0.507,45,69,0.652,14,54,68,51,15,4,35,26,189,banchpa01
23,Desmond Bane,SG,25,MEM,11,11,382,103,226,0.456,37,105,0.352,66,121,0.545,0.538,37,44,0.841,7,42,49,50,16,10,29,33,280,banede01
24,Dalano Banton,PG,24,BOS,4,0,28,5,9,0.556,0,2,0,5,7,0.714,0.556,3,3,1,3,3,6,2,1,0,1,3,13,bantoda01
25,Dominick Barlow,PF,20,SAS,4,0,21,2,5,0.4,0,0,,2,5,0.4,0.4,2,4,0.5,0,2,2,0,0,0,0,1,6,barlodo01
26,Harrison Barnes,PF,31,SAC,9,9,271,34,71,0.479,15,39,0.385,19,32,0.594,0.585,18,23,0.783,7,21,28,11,4,1,5,8,101,barneha02
27,Scottie Barnes,SG,22,TOR,10,10,361,76,164,0.463,18,53,0.34,58,111,0.523,0.518,31,41,0.756,28,69,97,56,18,18,25,24,201,barnesc01
28,RJ Barrett,SG,23,NYK,7,7,218,55,113,0.487,20,40,0.5,35,73,0.479,0.575,28,33,0.848,4,20,24,22,4,2,15,8,158,barrerj01
29,Charles Bassey,C,23,SAS,11,0,133,20,27,0.741,0,1,0,20,26,0.769,0.741,2,3,0.667,15,29,44,11,8,6,6,16,42,bassech01
30,Emoni Bates,SF,20,CLE,3,0,30,3,9,0.333,2,6,0.333,1,3,0.333,0.444,1,2,0.5,1,5,6,1,0,1,1,1,9,batesem01
31,Keita Bates-Diop,SF,28,PHO,7,4,155,18,42,0.429,6,18,0.333,12,24,0.5,0.5,5,9,0.556,9,21,30,9,4,6,1,7,47,bateske01
